nama_kos,lokasi,harga,Tempat Tidur,Lemari Pakaian,Meja,Kamar Mandi Dalam,AC,WiFi,Dapur,Area Parkir,Laundry Area
KOST PRIA PASURUAN MURAH (FREE WIFI & KM DALAM),"Purworejo, Pasuruan",Rp 525.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
KOST AAA,"Pungging, Mojokerto Kabupaten",Hubungi,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Putri Free WIFI +Fasilitas lengkap + KM dalam tengah kota pandaan,"Pandaan, Pasuruan Kabupaten",Rp 600.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
"Kos Putri Bersih, Aman & Nyaman Full fasilitas di pandaan pasuruan","Pandaan, Pasuruan Kabupaten",Rp 600.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Omah kos,"Kebomas, Gresik",Rp 650.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
"Kost Kostan & Kontrakan Pak Abu (Purwosari, Kab. Pasuruan)","Purwosari, Pasuruan Kabupaten",Rp 500.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Dewi Kos,"Pesantren, Kediri",Rp 1.250.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Mapan (PRIA),"Manyar, Gresik",Hubungi,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
HOMIE KOST,"Sumbersari, Jember",Rp 1.350.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Sensei Tuban,"Tuban, Tuban",Rp 600.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Lbar,"Madiun, Madiun Kabupaten",Rp 500.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
DJURAGAN KAMAR BALAWAN,"Kedungkandang, Malang",Rp 1.500.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
DJURAGAN KAMAR GUNUNG ANYAR,"Gunung Anyar, Surabaya",Rp 2.250.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
DJURAGAN KAMAR BANDAHARA,"Sukun, Malang",Rp 1.750.000,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
